cbsa,CBSATitle,year,prescription_rate,employment_to_population,african_amer_percent,native_amer_percent,asian_percent,other_percent,hispanic_percent,female_percent,high_school_percent,opioid_age,northeast,midwest,south,west,treat,post
10100,"Aberdeen, SD",2006,47.71042823957177,56.02969,.018216994,3.2284498,.25227714,1.5526348,1.5526348,46.74081,.42026734,21.269773,0,1,0,0,1,0
10100,"Aberdeen, SD",2007,47.70518232238312,56.329113,0,3.9548185,.48899055,1.5384616,,52.056049,.47708207,23.737488,0,1,0,0,1,0
10100,"Aberdeen, SD",2008,57.1620067643743,55.970669,0,3.4524078,.49931523,1.8003881,,52.002968,.44469321,23.202465,0,1,0,0,1,0
10100,"Aberdeen, SD",2009,60.15827096645864,55.297054,.14813972,3.1194804,.67802399,1.2705829,,51.358898,.44541356,25.009972,0,1,0,0,1,0
10100,"Aberdeen, SD",2010,58.53412495702146,55.303837,.49262637,3.4335971,.68532991,1.1623889,1.6743505,48.842632,.41724882,22.502338,0,1,0,0,1,1
10100,"Aberdeen, SD",2011,52.75402284821559,54.939182,.82906944,3.9428682,.67310584,1.0671191,,51.232658,.40248498,23.419159,0,1,0,0,1,1
10100,"Aberdeen, SD",2012,62.94404040404039,54.446854,1.0589892,4.390336,.69064516,.74752176,,51.514,.42760599,23.798819,0,1,0,0,1,1
10100,"Aberdeen, SD",2013,66.04039706824165,53.743614,1.1694186,3.9069817,.89914101,1.078434,,50.962025,.42768312,24.694265,0,1,0,0,1,1
10100,"Aberdeen, SD",2014,58.16840185676392,53.881859,1.3083265,3.3200097,1.490187,.92688274,1.802471,51.09684,.41702113,23.617086,0,1,0,0,1,1
10140,"Aberdeen, WA",2006,114.6,40.301708,.74150252,4.092967,1.0935352,7.3713078,6.3475199,49.412868,.52658731,26.447248,0,0,0,1,1,0
10140,"Aberdeen, WA",2007,114.6,40.365902,1.0057491,4.1642537,1.1003913,7.4244628,6.5924602,49.170116,.53963,26.053423,0,0,0,1,1,0
10140,"Aberdeen, WA",2008,131.3,40.66114,.80609989,4.1739936,1.2337689,7.5292268,7.1634569,49.394371,.5018447,26.401531,0,0,0,1,1,0
10140,"Aberdeen, WA",2009,125.8,37.29784,.78010315,4.433167,1.3169483,5.6606412,7.5479875,49.08918,.46723908,24.778761,0,0,0,1,1,0
10140,"Aberdeen, WA",2010,121.3,36.321888,1.0580966,4.3535471,1.3071523,6.8147883,7.9795732,48.975216,.48304379,24.728519,0,0,0,1,1,1
10140,"Aberdeen, WA",2011,106.8,35.495739,1.0863578,4.3399239,1.2515835,7.1873107,8.7018776,48.818638,.46692169,23.44688,0,0,0,1,1,1
10140,"Aberdeen, WA",2012,108.5,35.1511,1.3667363,4.2482257,1.4704865,7.3178492,8.9086857,48.653324,.4586325,23.448935,0,0,0,1,1,1
10140,"Aberdeen, WA",2013,111.7,34.921364,1.4082544,4.7852764,1.4905187,5.803123,9.2944784,48.703293,.45515195,23.600111,0,0,0,1,1,1
10140,"Aberdeen, WA",2014,113.9,34.560284,1.2699696,4.5905704,1.4999861,6.2243843,9.280118,48.559959,.44834313,23.651268,0,0,0,1,1,1
10180,"Abilene, TX",2006,105.8771474878444,48.439629,7.2482877,.55475587,1.3887153,9.1798267,18.595673,46.077961,.4489263,24.723303,0,0,1,0,0,0
10180,"Abilene, TX",2007,106.0139497325124,47.61095,6.7912383,.45644733,1.6649233,12.275739,20.041681,51.764767,.46463522,25.985006,0,0,1,0,0,0
10180,"Abilene, TX",2008,118.822624367594,48.579525,6.7675123,.50633711,1.4304024,10.245416,20.656973,51.530087,.44445744,25.729837,0,0,1,0,0,0
10180,"Abilene, TX",2009,123.9569349474525,47.663975,6.8045588,.7474854,1.4752795,8.2711744,21.155647,51.865566,.4391917,26.150963,0,0,1,0,0,0
10180,"Abilene, TX",2010,125.4960841174962,42.991028,7.6611118,.52273643,1.4346927,7.8106337,20.494131,47.751266,.45515952,24.991751,0,0,1,0,0,1
10180,"Abilene, TX",2011,121.6267001038381,42.860817,8.2971134,.59489352,1.4596127,7.2372637,22.534279,49.62384,.46004266,25.548353,0,0,1,0,0,1
10180,"Abilene, TX",2012,126.8321667511075,42.845924,8.614603,.42669511,1.5374743,6.5521426,22.91128,49.485394,.4640792,25.831264,0,0,1,0,0,1
10180,"Abilene, TX",2013,122.9387657416007,43.055023,8.7100515,.41657114,1.62352,6.9707675,23.220932,49.276939,.46867192,25.76244,0,0,1,0,0,1
10180,"Abilene, TX",2014,109.0124977723919,43.128868,7.8988061,.5573529,1.4614061,7.7339015,22.112123,49.431442,.46014968,25.369028,0,0,1,0,0,1
10220,"Ada, OK",2006,122.2,54.531265,2.574872,12.819329,.4328177,8.6162348,3.7113912,51.991146,.47565103,25.620388,0,0,1,0,1,0
10220,"Ada, OK",2007,122.2,53.327263,2.7737632,14.188438,.87270707,7.7098384,,52.14286,.48558283,24.949972,0,0,1,0,1,0
10220,"Ada, OK",2008,66.09999999999999,53.4809,2.2924445,11.105315,.3019987,11.594005,,51.573139,.4707557,25.291018,0,0,1,0,1,0
10220,"Ada, OK",2009,113.8,52.866535,2.3776641,7.883121,.23830801,14.582827,,51.534111,.45294982,26.316786,0,0,1,0,1,0
10220,"Ada, OK",2010,132.2,44.317268,2.5107718,9.5070858,.46959835,14.079687,4.057179,51.544411,.4659721,24.921005,0,0,1,0,1,1
10220,"Ada, OK",2011,130.3,45.404564,2.7052934,7.7803812,.077218018,16.820215,4.2017255,51.515072,.46425298,24.049419,0,0,1,0,1,1
10220,"Ada, OK",2012,139.1,45.43858,2.509274,7.7848434,.38950714,17.509274,4.1441441,51.18177,.45667621,24.226286,0,0,1,0,1,1
10220,"Ada, OK",2013,129.8,44.026108,2.5134649,7.0783606,.88974547,17.742105,4.3140779,51.174885,.45660833,24.419157,0,0,1,0,1,1
10220,"Ada, OK",2014,118.3,44.431385,2.3393974,7.4168935,.55448472,18.063,4.4332376,51.24231,.46529987,24.495024,0,0,1,0,1,1
10300,"Adrian, MI",2006,66.90000000000001,45.525093,1.9662871,.53732586,.75816548,4.756453,7.331439,50.519146,.50594568,26.590242,0,1,0,0,0,0
10300,"Adrian, MI",2007,66.90000000000001,44.905682,1.8492543,.5433172,.68951893,4.6784549,7.3090978,50.494915,.5037154,26.00316,0,1,0,0,0,0
10300,"Adrian, MI",2008,76.3,43.30492,2.2065585,.48639193,.63665932,4.6790504,7.4095674,50.136925,.49251196,26.288887,0,1,0,0,0,0
10300,"Adrian, MI",2009,75.40000000000001,40.738079,2.3026445,.52495527,.57764959,4.6152315,7.545238,49.942337,.49006277,25.060648,0,1,0,0,0,0
10300,"Adrian, MI",2010,77.8,43.231327,2.2479811,.56950647,.51889044,4.3338614,7.5136142,49.867432,.48590621,24.722134,0,1,0,0,0,1
10300,"Adrian, MI",2011,77.3,43.640095,2.3723414,.73434383,.50091672,3.7378404,7.5969024,49.717983,.48805842,23.771502,0,1,0,0,0,1
10300,"Adrian, MI",2012,86.90000000000001,44.177185,2.3106198,.63227415,.39668158,3.9426525,7.6386371,49.439209,.46982855,23.365953,0,1,0,0,0,1
